
--------------------------------------------------
Table : Complete
parent: Série
| Série | Vol. | Titre | Où ? | Auteurs | Editeur | A qui? |
--------------------------------------------------
| Rapaces | 1 | Rapaces I | Alain | Dufaux - Marini | Dargaud | Alain |
| Rapaces | 2 | Rapaces II | Alain | Dufaux - Marini | Dargaud | Alain |
| Rapaces | 3 | Rapaces III | Alain | Dufaux - Marini | Dargaud | Alain |
| De Cape et de Crocs | 1 | Le secret du Janissaire | Alain | Ayroles - Masbou | Delcourt | Alain |
| Le Chat du Rabbin | 3 | L'Exode | Alain | Sfar | Poisson Pilote | ??? |
| La nef des fous | 2 | Pluvior 627 | Alain | Turf | Terres de Légendes - Delcourt | Alain |
| Divers | -1 | l'hachélème que j'aime | Alain | Caza | Les Humanos | Alain |
| batman | -1 | Les Fous d'Arkham | Alain | McKean - Morrison | Comics USA | Alain |
| DK2 : La Relève | 1 | Tome 1 | Alain | Miller - Varley | Edition USA | Alain |
| Divers | -1 | le regard de L'APOCALYPSE | Alain | Gimenez - Dal Pra' | Bagheera | Alain |
| le fléau des DIEUX | 1 | tant | Alain | Mangin - Gajic | Soleil | Alain |
| le fléau des DIEUX | 2 | Dies irae | Alain | Mangin - Gajic | Soleil | Alain |
| le fléau des DIEUX | 3 | Urbi et orbi | Alain | Mangin - Gajic | Soleil | Alain |
| le fléau des DIEUX | 4 | Vae victis | Alain | Mangin - Gajic | Soleil | Alain |
| Plus jamais ça | 1 | Light city | Alain | Vervish - Morvan | Carabas | Alain |
| Sky Doll | 1 | La ville jaune | Alain | Barbucci - Canepa | Soleil | Alain |
| Sky Doll | 2 | Aqua | Alain | Barbucci - Canepa | Soleil | Alain |
| Le monde d'Arkadi | 1 | Les yeux d'Or-Fé | Alain | Caza | Delcourt | Alain |
| Le monde d'Arkadi | 2 | Le grand extérieur | Alain | Caza | Les Humanoïdes Associés | Alain |
| Le monde d'Arkadi | 3 | Arkadi | Alain | Caza | Les Humanoïdes Associés | Alain |
| Le monde d'Arkadi | 4 | La corne rouge | Alain | Caza | Les Humanoïdes Associés | Alain |
| Le monde d'Arkadi | 5 | Les voyageurs de la Mer Morte | Alain | Caza | Les Humanoïdes Associés | n |
| Le monde d'Arkadi | 6 | Noone | Alain | Caza | Delcourt | Alain |
